127.0.0.1 - - [22/Mar/2016:10:48:00 -0400] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:08:29 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:08:29 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:08:30 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:08:31 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:08:31 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:09:15 -0400] "GET /aboutus/index.htm HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:09:15 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:09:15 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:09:18 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:09:18 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:09:18 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:09:22 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:09:22 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/css/style.css HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Website%20Pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:12:03 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:11 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:11 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:11 -0400] "GET /style/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:11 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:12 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:13:24 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:08 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/css/style.css HTTP/1.1" 200 5409
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Website%20Pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:14:09 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/css/style.css HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Website%20Pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:38 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:57 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/css/style.css HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Website%20Pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:15:58 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/logo.png HTTP/1.1" 200 576904
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:08 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:09 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:09 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:30 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/css/style.css HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Website%20Pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:16:31 -0400] "GET /index.htm HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:21:23 -0400] "GET /index.htm HTTP/1.1" 200 8713
